EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING,515.123.4567,2003-06-17,AD_PRES,24000.00,0.00,0,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,2005-09-21,AD_VP,17000.00,0.00,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,2001-01-13,AD_VP,17000.00,0.00,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,2006-01-03,IT_PROG,9000.00,0.00,102,60
104,Bruce,Ernst,BERNST,590.423.4568,2007-05-21,IT_PROG,6000.00,0.00,103,60
105,David,Austin,DAUSTIN,590.423.4569,2005-06-25,IT_PROG,4800.00,0.00,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,2006-02-05,IT_PROG,4800.00,0.00,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,2007-02-07,IT_PROG,4200.00,0.00,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,2002-08-17,FI_MGR,12008.00,0.00,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,2002-08-16,FI_ACCOUNT,9000.00,0.00,108,100
110,John,Chen,JCHEN,515.124.4269,2005-09-28,FI_ACCOUNT,8200.00,0.00,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,2005-09-30,FI_ACCOUNT,7700.00,0.00,108,100165,Barbara,Scott,BSCOTT,515.124.4369,2006-02-16,SA_REP,6200.00,0.00,140,70
166,Christopher,Harris,CHARRIS,590.423.6969,2003-11-05,SA_REP,6000.00,0.00,140,70
167,Susan,Young,SYOUNG,515.125.4669,2005-07-07,SA_REP,6100.00,0.00,140,70
168,Larry,Thomas,LTHOMAS,590.423.7069,2006-02-01,SA_REP,5900.00,0.00,140,70
169,Sandra,Moore,SMOORE,515.124.4469,2008-06-22,SA_REP,6800.00,0.00,140,70
170,Paul,Martin,PMARTIN,590.423.7169,2006-04-03,SA_REP,6300.00,0.00,140,70
171,George,Lee,GLEE,590.423.7269,2007-05-14,SA_REP,6400.00,0.00,140,70
172,Julie,Walker,JWALKER,515.124.4569,2004-11-13,SA_REP,6700.00,0.00,140,70
173,Harold,King,HKING,590.423.7369,2005-03-10,SA_REP,6000.00,0.00,140,70
174,Denise,Scott,DSCOTT,590.423.7469,2007-08-22,SA_REP,6500.00,0.00,140,70
175,Lisa,Roberts,LROBER,515.124.4669,2008-01-30,SA_REP,6200.00,0.00,140,70
176,John,Adams,JADAMS,590.423.7569,2006-11-23,SA_REP,6900.00,0.00,140,70
177,Joseph,Johnson,JJONSON,590.423.7669,2003-12-17,SA_REP,6300.00,0.00,140,70
178,Janet,Williams,JWILLIAMS,590.423.7769,2007-04-28,SA_REP,6700.00,0.00,140,70
179,Edward,Anderson,EANDERSON,590.423.7869,2006-03-30,SA_REP,6600.00,0.00,140,70
180,Robert,Roberts,RROBER,515.124.4769,2005-02-15,SA_REP,6800.00,0.00,140,70
181,Charles,Young,CYOUNG,590.423.7969,2004-08-10,SA_REP,6000.00,0.00,140,70
182,Christine,Scott,CSCOTT,515.125.4769,2007-09-18,SA_REP,6100.00,0.00,140,70
183,Jonathan,King,JKING,590.423.8069,2005-11-12,SA_REP,6500.00,0.00,140,70
184,Monica,Jackson,MJACKSON,590.423.8169,2003-04-22,SA_REP,6300.00,0.00,140,70
185,Andrew,Thomas,ATHOMAS,515.125.4869,2006-07-09,SA_REP,6200.00,0.00,140,70
186,Gloria,Lee,GLLEE,515.125.4969,2005-05-06,SA_REP,6400.00,0.00,140,70
187,Frank,Adams,FADAMS,590.423.8269,2006-08-01,SA_REP,6600.00,0.00,140,70
188,David,Martin,DMARTIN,590.423.8369,2005-06-18,SA_REP,6700.00,0.00,140,70
189,Susan,Baker,SBaker,590.423.8469,2004-12-06,SA_REP,5900.00,0.00,140,70
190,Richard,Moore,RMORE,590.423.8569,2007-02-25,SA_REP,6500.00,0.00,140,70
191,Steven,Martin,SMARTIN,590.423.8669,2006-05-16,SA_REP,6200.00,0.00,140,70
192,Patricia,Wright,PWRIGHT,515.124.4869,2007-11-12,SA_REP,6400.00,0.00,140,70
193,James,Anderson,JANDERSON,590.423.8769,2004-07-11,SA_REP,6600.00,0.00,140,70
194,Mary,Wilson,MWILSON,515.125.5069,2006-10-08,SA_REP,6300.00,0.00,140,70
195,Joseph,Brown,JBROWN,590.423.8869,2005-01-19,SA_REP,6100.00,0.00,140,70
196,Lillian,Roberts,LROBER,590.423.8969,2007-07-20,SA_REP,6700.00,0.00,140,70
197,John,Wilson,JWILSON,515.124.4969,2006-03-22,SA_REP,6500.00,0.00,140,70
198,Jacqueline,Adams,JADAMS,590.423.9069,2004-09-19,SA_REP,6200.00,0.00,140,70
199,Charles,Moore,CMOORE,515.125.5169,2007-03-25,SA_REP,6400.00,0.00,140,70
200,Thomas,Jackson,TJACKSON,590.423.9169,2005-10-08,SA_REP,6500.00,0.00,140,70

112,Jose Manuel,Urman,JMURMAN,515.124.4469,2006-03-07,FI_ACCOUNT,7800.00,0.00,108,100
113,Luis,Popp,LPOPP,515.124.4567,2007-12-07,FI_ACCOUNT,6900.00,0.00,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,2002-12-07,PU_MAN,11000.00,0.00,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,2003-05-18,PU_CLERK,3100.00,0.00,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,2005-12-24,PU_CLERK,2900.00,0.00,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,2005-07-24,PU_CLERK,2800.00,0.00,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,2006-11-15,PU_CLERK,2600.00,0.00,114,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,2007-08-10,PU_CLERK,2500.00,0.00,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,2004-07-18,ST_MAN,8000.00,0.00,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,2005-04-10,ST_MAN,8200.00,0.00,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,2003-05-01,ST_MAN,7900.00,0.00,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,2005-10-10,ST_MAN,6500.00,0.00,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,2007-11-16,ST_MAN,5800.00,0.00,100,50
125,Julia,Nayer,JNAYER,650.124.1214,2005-07-16,ST_CLERK,3200.00,0.00,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,2006-09-28,ST_CLERK,2700.00,0.00,120,50
127,James,Landry,JLANDRY,650.124.1334,2007-01-14,ST_CLERK,2400.00,0.00,120,50
128,Steven,Markle,SMARKLE,650.124.1434,2008-03-08,ST_CLERK,2200.00,0.00,120,50
129,Laura,Bissot,LBISSOT,650.124.5234,2005-08-20,ST_CLERK,3300.00,0.00,121,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,2005-10-30,ST_CLERK,2800.00,0.00,121,50
131,James,Marlow,JAMRLOW,650.124.7234,2005-02-16,ST_CLERK,2500.00,0.00,121,50
132,TJ,Olson,TJOLSON,650.124.8234,2007-04-10,ST_CLERK,2100.00,0.00,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,2004-06-14,ST_CLERK,3300.00,0.00,122,50
134,Michael,Rogers,MROGERS,650.127.1834,2006-08-26,ST_CLERK,2900.00,0.00,122,50
135,Ki,Gee,KGEE,650.127.1734,2007-12-12,ST_CLERK,2400.00,0.00,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,2008-02-06,ST_CLERK,2200.00,0.00,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,2003-07-14,ST_CLERK,3600.00,0.00,123,50
138,Stephen,Stiles,SSTILES,650.121.2034,2005-10-26,ST_CLERK,3200.00,0.00,123,50
139,John,Seo,JSEO,650.121.2019,2006-02-12,ST_CLERK,2700.00,0.00,123,50
140,Joshua,Patel,JPATEL,650.121.1834,2006-04-06,ST_CLERK,2500.00,0.00,123,50
141,Trenna,Rajs,TRAJS,650.121.8009,2003-10-17,ST_CLERK,3500.00,0.00,124,50
142,Curtis,Davies,CDAVIES,650.121.2994,2005-01-29,ST_CLERK,3100.00,0.00,124,50
